,Unnamed: 0,Xç¿ïW.1,Yç¿ïW.1
0,R1,47.01125,96.6675
1,R2,116.835,82.54625
2,R3,198.1725,79.7775
3,R4,16.34625,23.02375
4,R5,55.67125,29.31375
5,R6,128.26,27.95625
6,R7,128.22625,24.04875
7,R8,128.23375,20.2425
8,R9,128.15875,16.47
9,R10,128.08625,12.66875
10,R11,128.20875,8.87625
11,R12,190.445,22.65625
12,R13,186.61125,18.8675
13,R14,190.5075,15.00125
14,R15,17.61,-3.63875
15,R16,17.59375,-6.16125
16,R17,49.39125,-3.69
17,R18,82.425,-5.03875
18,R19,82.425,-5.03875
19,R20,82.425,-5.03875
20,R21,82.4475,5.09375
21,R22,86.2525,5.14125
22,R23,89.98625,5.08375
23,R24,141.13125,85.0475
24,R25,141.13125,85.0475
25,R26,101.42625,5.12375
26,R27,120.6475,4.965
27,R28,126.84125,1.18125
28,R29,140.88125,-1.34
29,R31,163.64875,-5.1775
30,R35,63.23625,-112.95875
31,R36,18.8375,-21.49875
32,R37,63.23625,-112.95875
33,R38,63.23625,-112.95875
34,R40,87.44125,-36.8125
35,R41,91.30875,-26.6225
36,R42,95.10625,-26.64375
37,R43,105.18375,-10.2075
38,R44,105.2175,-20.36125
39,R45,141.13125,85.0475
40,R46,158.82,-29.92875
41,R47,198.1675,-28.29625
42,R48,198.1675,-28.29625
43,R54,144.60125,-34.34375
44,R56,140.98125,-34.4425
45,R57,156.065,-47.24875
46,R58,152.235,-44.61375
47,R59,152.19375,-34.3725
48,R60,159.875,-38.32
49,R61,178.90875,-56.08375
50,R62,197.94625,-47.225
51,R64,23.8575,-53.1675
52,R65,141.13125,85.0475
53,R66,31.48375,-63.3725
54,R67,35.2875,-53.24875
55,R68,39.11375,-53.21125
56,R70,68.375,-53.3225
57,R71,75.9875,-63.54375
58,R74,144.60125,-34.34375
59,R76,136.89875,-58.45125
60,R77,156.11125,-42.1175
61,R79,39.1075,-63.385
62,R80,33.97,-72.23125
63,R81,37.94125,-82.43375
64,R82,41.5375,-72.2075
65,R83,53.0475,-76.13625
66,R84,56.895,-65.995
67,R85,141.13125,85.0475
68,R86,154.64125,-114.455
69,R87,150.71125,-114.43375
70,R88,94.985,-73.60375
71,R89,87.30625,-73.66875
72,R90,93.7175,-87.6475
73,R91,141.13125,85.0475
74,R92,109.03125,-61.10625
75,R93,131.91,-63.64875
76,R94,131.91,-63.64875
77,R95,153.4675,-63.635
78,R96,220.82,-71.47375
79,R97,209.3325,-99.31625
80,R98,196.54625,-66.20625
81,R99,16.2425,-88.79625
82,R100,28.81875,-88.74
83,R101,141.13125,85.0475
84,R102,40.35625,-86.2825
85,R103,83.495,-83.7475
86,R104,86.0675,-87.56625
87,R105,93.7175,-87.6475
88,R106,100.00875,-100.315
89,R107,141.13125,85.0475
90,R108,120.34,-68.61625
91,R109,135.58375,-114.365
92,R110,135.58625,-88.92375
93,R111,147.1275,-91.5975
94,R112,220.82,-71.47375
95,R113,192.825,-84.015
96,R115,204.20375,-84.0025
97,R116,141.13125,85.0475
98,R117,36.8,-101.5
99,R118,40.56,-102.8
100,R119,55.4725,-112.905
101,R120,47.9625,-102.73625
102,R121,63.18375,-102.69375
103,R122,63.18375,-102.69375
104,R123,141.13125,85.0475
105,R124,91.16625,-114.34125
106,R125,98.68125,-114.355
107,R126,98.78125,-104.09375
108,R127,120.35,-66.05125
109,R128,107.64625,-114.34
110,R129,135.58375,-114.365
111,R130,214.68,-110.64
112,R131,150.71125,-114.43375
113,R132,154.57875,-104.275
114,R133,168.71125,-112.07875
115,R137,192.78875,-108.16875
116,R139,200.4175,-108.1875
117,R200,34.13625,-37.95
118,R201,30.2425,-48.19375
119,R202,141.13125,85.0475
120,R203,134.48,1.26625
121,R-XR1,36.76125,89.06125
122,VR1,26.42125,-33.15
123,C1,141.13125,85.0475
124,C2,144.83625,84.99625
125,C14,141.13125,85.0475
126,C18,141.13125,85.0475
127,C20,141.13125,85.0475
128,C21,141.13125,85.0475
129,C22,141.13125,85.0475
130,C23,156.12125,-5.2725
131,C24,152.34625,21.49125
132,C25,163.64875,-5.1775
133,C27,190.445,22.65625
134,C28,186.61125,18.8675
135,C29,190.5075,15.00125
136,C31,141.13125,85.0475
137,C33,86.17125,-21.57125
138,C34,172.72375,-14.15625
139,C35,181.52875,-28.14625
140,C36,181.52875,-28.14625
141,C37,186.00875,-10.36375
142,C39,181.52875,-28.14625
143,C41,198.1675,-28.29625
144,C44,141.13125,85.0475
145,C47,141.13125,85.0475
146,C49,141.13125,85.0475
147,C54,156.0425,-34.51125
148,C59,141.13125,85.0475
149,C60,141.13125,85.0475
150,C61,56.895,-65.995
151,C65,204.13375,-97.965
152,C72,141.13125,85.0475
153,C73,141.13125,85.0475
154,C74,141.13125,85.0475
155,C75,141.13125,85.0475
156,C76,141.13125,85.0475
157,C77,40.35625,-86.2825
158,C80,141.13125,85.0475
159,C81,141.13125,85.0475
160,C82,141.13125,85.0475
161,C83,141.13125,85.0475
162,C84,154.64125,-114.455
163,C88,153.45625,-73.795
164,C89,143.26125,-104.28375
165,C90,154.57875,-104.275
166,C91,220.82,-71.47375
167,C92,220.82,-71.47375
168,C95,98.68125,-114.355
169,C96,168.71125,-112.07875
170,C98,186.44875,-117.0275
171,C100,209.35125,-94.15375
172,C101,217.0475,-94.31125
173,C102,220.88625,-94.25125
174,C202,141.13125,85.0475
175,C203,20.175,-39.30375
176,C204,34.13625,-37.95
177,C205,141.13125,85.0475
178,C207,209.3325,-99.31625
179,L-RL1,176.46,-0.20125
180,L-RL2,184.15125,-0.18875
181,L-RL3,191.84,-0.23875
182,L-RL5,220.8025,-33.385
183,L-RL6,214.4975,-2.78375
184,L-RL7,112.99,78.695
185,L-RL8,90.16,54.63625
186,L-RL9,90.11375,47.11875
187,L-RL11,82.4775,47.11375
188,L-RL12,174.1975,-118.0375
189,L-RL14,156.0275,-27.9975
190,SW1,197.90125,-37.125
191,S-RL1,176.51625,-14.175
192,S-RL2,180.2425,-15.3575
193,S-RL3,186.00875,-10.36375
194,S-RL5,198.1675,-28.29625
195,S-RL6,214.56375,-5.26375
196,JR,52.00125,19.07125
197,D1,49.39125,-3.69
198,D2,141.13125,85.0475
199,D3,141.13125,85.0475
200,D4,134.48,1.26625
201,D5,141.13125,85.0475
202,D6,22.59,-27.70625
203,D7,22.59,-27.70625
204,D8,176.51875,-28.11875
205,D8,176.51875,-28.11875
206,D9,144.60125,-34.34375
207,D10,156.11125,-42.1175
208,D11,128.08625,-63.56625
209,D12,141.13125,85.0475
210,D13,176.51875,-28.11875
211,D14,144.60125,-34.34375
212,D15,156.11125,-42.1175
213,D16,14.97625,-72.21625
214,D17,14.97625,-72.21625
215,D18,63.18375,-102.69375
216,D19,63.18375,-102.69375
217,D20,214.68,-110.64
218,D21,214.68,-110.64
219,D22,168.71125,-112.07875
220,D23,171.14125,-104.315
221,D24,204.20375,-84.0025
