name,x1,y1,x2,y2
C101,141.13126,85.04749,217.04749,-94.31125
R133,141.13126,85.04749,168.71124,-112.07875
C96,141.13126,85.04749,168.71124,-112.07875
C90,141.13126,85.04749,154.57874,-104.275
C89,141.13126,85.04749,143.26123,-104.28375
C88,141.13126,85.04749,153.45624,-73.795
R98,141.13126,85.04749,196.54623,-66.20625
C41,141.13126,85.04749,198.16748,-28.29625
C34,141.13126,85.04749,172.72375,-14.156242
C29,141.13126,85.04749,190.5075,15.001244
C27,141.13126,85.04749,190.445,22.656258
R3,141.13126,85.04749,198.17249,79.777504
C2,141.13126,85.04749,144.83624,84.996254
C24,141.13126,85.04749,152.34625,21.49125
C28,141.13126,85.04749,186.61124,18.8675
C25,141.13126,85.04749,163.64874,-5.177498
R58,141.13126,85.04749,152.23499,-44.613747
C23,152.34625,21.49125,156.12125,-5.272499
R12,176.41748,22.82,190.445,22.656258
R13,176.50125,18.920006,186.61124,18.8675
R14,176.39624,15.129997,190.5075,15.001244
S-RL5,172.72375,-14.156242,198.16748,-28.29625
R112,220.81375,-76.51125,220.82,-71.47374
C91,209.33249,-99.31625,220.82,-71.47374
C92,209.33249,-99.31625,220.82,-71.47374
C100,209.33249,-99.31625,209.35126,-94.15375
D25,200.41748,-108.1875,204.13373,-97.965
D24,204.13373,-97.965,204.20374,-84.0025
R96,171.2125,-85.2775,220.82,-71.47374
C65,180.1575,-66.1875,204.13373,-97.965
R97,174.97626,-61.139996,209.33249,-99.31625
C207,167.58124,-73.6125,209.33249,-99.31625
D20,154.57874,-104.275,214.68,-110.64
D21,143.26123,-104.28375,214.68,-110.64
R130,98.68125,-114.355,214.68,-110.64
C102,98.68125,-114.355,220.88623,-94.25125
R139,63.236244,-112.95875,200.41748,-108.1875
R137,36.512505,-111.66125,192.78876,-108.16875
R113,36.512505,-111.66125,192.82498,-84.015
R48,36.512505,-111.66125,198.16748,-28.29625
S-RL3,36.512505,-111.66125,186.00873,-10.363754
S-RL2,36.512505,-111.66125,180.2425,-15.357491
S-RL1,36.512505,-111.66125,176.51624,-14.175003
D8,63.236244,-112.95875,176.51874,-28.118744
D8,63.236244,-112.95875,176.51874,-28.118744
R60,98.68125,-114.355,159.875,-38.32
D23,168.71124,-112.07875,171.14124,-104.315
D22,167.35373,-104.28875,168.71124,-112.07875
R132,154.64124,-114.455,154.57874,-104.275
R131,143.26123,-104.28375,150.71124,-114.43375
C98,181.52875,-28.146248,186.44873,-117.0275
R62,197.90125,-37.125,197.94623,-47.225
SW1,187.76248,-33.216255,197.90125,-37.125
R47,181.52875,-28.146248,198.16748,-28.29625
C36,180.2425,-15.357491,181.52875,-28.146248
C35,176.51624,-14.175003,181.52875,-28.146248
C37,181.52875,-28.146248,186.00873,-10.363754
C39,176.51874,-28.118744,181.52875,-28.146248
R61,144.60126,-34.34375,178.90875,-56.08375
R95,153.45624,-73.795,153.4675,-63.635
R111,135.58624,-88.92375,147.1275,-91.5975
IC57,120.50875,-106.685,125.52375,-109.42375
C84,93.63125,-97.78,154.64124,-114.455
R109,63.236244,-112.95875,135.58374,-114.365
R129,63.236244,-112.95875,135.58374,-114.365
C95,91.16625,-114.34125,98.68125,-114.355
R125,95.00625,-104.09375,98.68125,-114.355
R126,98.68125,-114.355,98.78127,-104.09375
R124,87.255,-102.8125,91.16625,-114.34125
D19,63.236244,-112.95875,63.18377,-102.69375
R120,47.911247,-112.875,47.9625,-102.73625
R118,40.191246,-112.86625,40.560005,-102.8
R117,36.512505,-111.66125,36.799995,-101.5
R119,44.109993,-102.78875,55.472496,-112.905
R122,55.472496,-112.905,63.18377,-102.69375
R121,47.911247,-112.875,63.18377,-102.69375
R100,27.715004,-100.1,28.818748,-88.74
R99,12.375008,-96.38875,16.2425,-88.79625
D17,14.8825,-82.45625,14.97625,-72.21625
D16,11.141243,-82.4475,14.97625,-72.21625
R80,28.818748,-88.74,33.97001,-72.23125
R81,33.97001,-72.23125,37.941246,-82.43375
R102,31.483742,-63.3725,40.356255,-86.2825
C77,31.483742,-63.3725,40.356255,-86.2825
R37,44.17875,-17.607498,63.236244,-112.95875
R38,44.17875,-17.607498,63.236244,-112.95875
R35,15.000008,-21.436249,63.236244,-112.95875
D18,7.3650055,-31.57,63.18377,-102.69375
R128,7.3650055,-31.57,107.64623,-114.34
L-RL12,7.3650055,-31.57,174.19748,-118.0375
D-RL12,7.3650055,-31.57,174.19748,-118.0375
R115,7.3650055,-31.57,204.20374,-84.0025
L-RL5,7.3650055,-31.57,220.80249,-33.385002
D-RL5,7.3650055,-31.57,220.80249,-33.385002
S-RL6,7.492508,-6.268753,214.56375,-5.263748
L-RL6,7.3650055,-31.57,214.4975,-2.7837524
D-RL6,7.3650055,-31.57,214.4975,-2.7837524
L-RL3,7.3650055,-31.57,191.84,-0.23874664
D-RL3,7.3650055,-31.57,191.84,-0.23874664
D13,7.3650055,-31.57,176.51874,-28.118744
R110,7.3650055,-31.57,135.58624,-88.92375
R106,7.3650055,-31.57,100.00875,-100.315
R87,68.25875,-72.35875,150.71124,-114.43375
R86,68.25875,-72.35875,154.64124,-114.455
R105,93.63125,-97.78,93.71752,-87.6475
R104,86.017494,-97.7875,86.0675,-87.56625
R103,69.505,-93.9125,83.495,-83.7475
R90,87.30625,-73.66875,93.71752,-87.6475
R89,86.0675,-87.56625,87.30625,-73.66875
R88,83.495,-83.7475,94.98499,-73.60375
R127,103.8025,-114.3175,120.34998,-66.05125
R108,107.64623,-90.1775,120.340004,-68.61625
R94,131.73749,-73.75,131.91,-63.64875
